"filename", "language", "HTML", "Markdown", "JavaScript", "JSON", "Diff", "PostCSS", "XML", "JavaScript JSX", "comment", "blank", "total"
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningPathPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 991, 24, 101, 1116
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 122, 0, 10, 132
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\NavigationPage.css", "PostCSS", 0, 0, 0, 0, 0, 264, 0, 0, 0, 45, 309
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\NavigationPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 509, 4, 55, 568
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\PhilosophyLabPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 2025, 96, 168, 2289
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\QuizPage.css", "PostCSS", 0, 0, 0, 0, 0, 371, 0, 0, 3, 67, 441
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\QuizPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1799, 65, 185, 2049
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\RSAVisualizer.css", "PostCSS", 0, 0, 0, 0, 0, 611, 0, 0, 0, 101, 712
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\RSAVisualizer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 299, 28, 52, 379
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\RansomwareLab.css", "PostCSS", 0, 0, 0, 0, 0, 276, 0, 0, 5, 45, 326
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\RansomwareLab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 260, 16, 29, 305
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\RegisterPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 316, 1, 31, 348
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\SocialEngineeringLab.css", "PostCSS", 0, 0, 0, 0, 0, 266, 0, 0, 5, 43, 314
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\SocialEngineeringLab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 310, 37, 40, 387
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\SqliLab.css", "PostCSS", 0, 0, 0, 0, 0, 206, 0, 0, 1, 31, 238
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\VigenereCipherExplorer.css", "PostCSS", 0, 0, 0, 0, 0, 569, 0, 0, 1, 84, 654
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\VigenereCipherExplorer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 280, 0, 26, 306
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\XORVisualizer.css", "PostCSS", 0, 0, 0, 0, 0, 400, 0, 0, 12, 66, 478
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\XORVisualizer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 246, 15, 35, 296
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\XssLab.css", "PostCSS", 0, 0, 0, 0, 0, 259, 0, 0, 1, 39, 299
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\theme\theme.js", "JavaScript", 0, 0, 339, 0, 0, 0, 0, 0, 1, 15, 355
"c:\mostafa\homework\Capstone Project\sophiapath-web\test_screenshot.cjs", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 3, 7, 25
"c:\mostafa\homework\Capstone Project\sophiapath-web\test_screenshot.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 3, 7, 25
"c:\mostafa\homework\Capstone Project\sophiapath-web\vite.config.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 1, 2, 34
"Total", "-", 13, 10, 18084, 4135, 3618, 10331, 2, 29644, 1122, 4828, 71787
