"filename", "language", "JSON", "PostCSS", "JavaScript JSX", "JavaScript", "XML", "HTML", "Markdown", "Diff", "comment", "blank", "total"
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\data\courses.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\data\courses\cybersecurity.js", "JavaScript", 0, 0, 0, 4138, 0, 0, 0, 0, 0, 0, 4138
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\data\courses\index.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\data\courses\mobileDev.js", "JavaScript", 0, 0, 0, 4138, 0, 0, 0, 0, 0, 0, 4138
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\data\courses\philosophy.js", "JavaScript", 0, 0, 0, 4276, 0, 0, 0, 0, 0, 0, 4276
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\data\courses\physics.js", "JavaScript", 0, 0, 0, 4138, 0, 0, 0, 0, 0, 0, 4138
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\achievements\AchievementsPage.css", "PostCSS", 0, 351, 0, 0, 0, 0, 0, 0, 15, 55, 421
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\achievements\AchievementsPage.jsx", "JavaScript JSX", 0, 0, 215, 0, 0, 0, 0, 0, 8, 19, 242
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\chat\Chat.css", "PostCSS", 0, 180, 0, 0, 0, 0, 0, 0, 4, 33, 217
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\chat\ChatListPage.jsx", "JavaScript JSX", 0, 0, 170, 0, 0, 0, 0, 0, 4, 16, 190
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\chat\ChatPage.jsx", "JavaScript JSX", 0, 0, 293, 0, 0, 0, 0, 0, 8, 35, 336
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\editor\CodeEditor.css", "PostCSS", 0, 177, 0, 0, 0, 0, 0, 0, 6, 31, 214
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\editor\CodeEditorPage.jsx", "JavaScript JSX", 0, 0, 308, 0, 0, 0, 0, 0, 9, 23, 340
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\profile\ProfilePage.css", "PostCSS", 0, 322, 0, 0, 0, 0, 0, 0, 9, 57, 388
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\profile\ProfilePage.jsx", "JavaScript JSX", 0, 0, 688, 0, 0, 0, 0, 0, 7, 59, 754
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\settings\SettingsPage.css", "PostCSS", 0, 72, 0, 0, 0, 0, 0, 0, 0, 20, 92
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\features\settings\SettingsPage.jsx", "JavaScript JSX", 0, 0, 210, 0, 0, 0, 0, 0, 0, 14, 224
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\index.css", "PostCSS", 0, 581, 0, 0, 0, 0, 0, 0, 3, 38, 622
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\main.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\Auth.css", "PostCSS", 0, 133, 0, 0, 0, 0, 0, 0, 9, 22, 164
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CaesarCipherExplorer.css", "PostCSS", 0, 305, 0, 0, 0, 0, 0, 0, 0, 46, 351
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CaesarCipherExplorer.jsx", "JavaScript JSX", 0, 0, 197, 0, 0, 0, 0, 0, 0, 27, 224
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\ChallengePage.css", "PostCSS", 0, 200, 0, 0, 0, 0, 0, 0, 5, 27, 232
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\ChallengePage.jsx", "JavaScript JSX", 0, 0, 341, 0, 0, 0, 0, 0, 12, 37, 390
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CourseDetailPage.css", "PostCSS", 0, 335, 0, 0, 0, 0, 0, 0, 0, 56, 391
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CourseDetailPage.jsx", "JavaScript JSX", 0, 0, 293, 0, 0, 0, 0, 0, 5, 25, 323
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CyberLabPage.css", "PostCSS", 0, 204, 0, 0, 0, 0, 0, 0, 0, 25, 229
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\CyberLabPage.jsx", "JavaScript JSX", 0, 0, 722, 0, 0, 0, 0, 0, 12, 30, 764
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\DenialOfServiceLab.css", "PostCSS", 0, 224, 0, 0, 0, 0, 0, 0, 0, 40, 264
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\DenialOfServiceLab.jsx", "JavaScript JSX", 0, 0, 238, 0, 0, 0, 0, 0, 11, 39, 288
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\EnigmaMachine.css", "PostCSS", 0, 664, 0, 0, 0, 0, 0, 0, 1, 95, 760
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\EnigmaMachine.jsx", "JavaScript JSX", 0, 0, 352, 0, 0, 0, 0, 0, 18, 61, 431
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningContentPage.css", "PostCSS", 0, 657, 0, 0, 0, 0, 0, 0, 17, 105, 779
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningContentPage.jsx", "JavaScript JSX", 0, 0, 2746, 0, 0, 0, 0, 0, 44, 245, 3035
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningPage.css", "PostCSS", 0, 360, 0, 0, 0, 0, 0, 0, 0, 71, 431
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningPage.jsx", "JavaScript JSX", 0, 0, 339, 0, 0, 0, 0, 0, 0, 38, 377
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningPathPage.css", "PostCSS", 0, 262, 0, 0, 0, 0, 0, 0, 1, 39, 302
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LearningPathPage.jsx", "JavaScript JSX", 0, 0, 991, 0, 0, 0, 0, 0, 24, 101, 1116
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\LoginPage.jsx", "JavaScript JSX", 0, 0, 122, 0, 0, 0, 0, 0, 0, 10, 132
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\NavigationPage.css", "PostCSS", 0, 264, 0, 0, 0, 0, 0, 0, 0, 45, 309
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\NavigationPage.jsx", "JavaScript JSX", 0, 0, 482, 0, 0, 0, 0, 0, 4, 53, 539
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\PhilosophyLabPage.jsx", "JavaScript JSX", 0, 0, 2025, 0, 0, 0, 0, 0, 96, 168, 2289
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\QuizPage.css", "PostCSS", 0, 371, 0, 0, 0, 0, 0, 0, 3, 67, 441
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\QuizPage.jsx", "JavaScript JSX", 0, 0, 1659, 0, 0, 0, 0, 0, 56, 175, 1890
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\RSAVisualizer.css", "PostCSS", 0, 611, 0, 0, 0, 0, 0, 0, 0, 101, 712
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\RSAVisualizer.jsx", "JavaScript JSX", 0, 0, 299, 0, 0, 0, 0, 0, 28, 52, 379
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\RegisterPage.jsx", "JavaScript JSX", 0, 0, 316, 0, 0, 0, 0, 0, 1, 31, 348
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\VigenereCipherExplorer.css", "PostCSS", 0, 569, 0, 0, 0, 0, 0, 0, 1, 84, 654
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\pages\VigenereCipherExplorer.jsx", "JavaScript JSX", 0, 0, 280, 0, 0, 0, 0, 0, 0, 26, 306
"c:\mostafa\homework\Capstone Project\sophiapath-web\src\theme\theme.js", "JavaScript", 0, 0, 0, 306, 0, 0, 0, 0, 0, 12, 318
"c:\mostafa\homework\Capstone Project\sophiapath-web\test_screenshot.cjs", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 3, 7, 25
"c:\mostafa\homework\Capstone Project\sophiapath-web\test_screenshot.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 3, 7, 25
"c:\mostafa\homework\Capstone Project\sophiapath-web\vite.config.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 1, 2, 34
"Total", "-", 4135, 7035, 20576, 17401, 2, 13, 10, 3618, 715, 3347, 56852
